nombre,email,mensaje,fecha_nacimiento,fecha_ingreso
JOSIAS,josias@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-01-26,2019-11-28
RODOLFO,rodolfo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-02-08,1998-10-18
GEAN,gean@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1954-10-22,2010-01-31
LAZARO,lazaro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1981-03-01,2012-07-19
LUCIO,lucio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-11-28,2004-04-03
JOSIMAR,josimar@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1966-02-27,2018-03-12
VILMAR,vilmar@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-11-27,2013-03-15
JEFFERSON,jefferson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-11-12,2022-05-26
ALCIDES,alcides@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-07-09,2021-12-14
VALDOMIRO,valdomiro@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1966-01-26,2022-10-07
ARMANDO,armando@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-01-14,2009-03-31
ROMULO,romulo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-01-02,2021-10-24
CASSIO,cassio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-08-29,2009-12-07
EDNALDO,ednaldo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1967-03-18,2011-02-06
WELITON,weliton@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-02-23,2017-09-19
AIRTON,airton@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-06-16,2020-11-18
CLAUDEMIR,claudemir@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-03-08,2015-02-13
WELINGTON,welington@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-05-28,2006-07-13
CAIQUE,caique@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1986-09-11,2013-04-02
RICHARD,richard@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-08-10,2007-05-05
LAERCIO,laercio@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-05-20,2004-04-11
PATRICK,patrick@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-08-30,2003-08-09
AFONSO,afonso@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-11-02,2010-05-30
CLOVIS,clovis@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-11-18,2000-10-23
ADALBERTO,adalberto@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-02-16,2005-12-04
EDMAR,edmar@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1962-01-28,2009-02-27
ENZO,enzo@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-12-26,1998-07-17
JURANDIR,jurandir@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-10-11,2009-02-14
EDGAR,edgar@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1967-10-28,2019-05-01
EDIMILSON,edimilson@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1971-07-13,2019-04-28
MARIA,maria@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-03-31,2015-02-28
ANA,ana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-07-04,2009-09-01
FRANCISCA,francisca@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-09-04,2005-12-31
ANTONIA,antonia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1997-04-18,2004-09-25
ADRIANA,adriana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-10-11,2014-01-03
JULIANA,juliana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-03-06,2007-10-06
MARCIA,marcia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-08-26,2023-07-04
FERNANDA,fernanda@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-12-03,2018-04-11
PATRICIA,patricia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1981-11-21,2022-10-18
ALINE,aline@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-04-23,2007-05-13
SANDRA,sandra@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1956-11-17,2005-10-10
CAMILA,camila@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-03-19,2019-10-02
AMANDA,amanda@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-09-10,1998-12-31
BRUNA,bruna@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1966-02-11,1998-09-22
JESSICA,jessica@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-01-06,2019-05-05
LETICIA,leticia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-12-20,2012-02-25
JULIA,julia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1964-06-18,2013-10-25
LUCIANA,luciana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-08-07,2009-07-03
VANESSA,vanessa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-12-08,1999-05-06
MARIANA,mariana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2002-02-20,2008-12-12
GABRIELA,gabriela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-08-28,2008-02-29
VERA,vera@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1965-02-21,1998-12-10
VITORIA,vitoria@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1995-10-31,2021-10-23
LARISSA,larissa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-06-13,2021-06-19
CLAUDIA,claudia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-02-07,2002-10-25
BEATRIZ,beatriz@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-12-29,1998-05-31
RITA,rita@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1965-03-28,2017-08-07
LUANA,luana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-12-01,2006-01-23
SONIA,sonia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-02-20,2020-06-11
RENATA,renata@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-03-15,2010-02-07
ELIANE,eliane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-03-06,2006-03-29
JOSEFA,josefa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2006-06-15,2002-11-09
SIMONE,simone@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1954-10-07,2011-12-21
NATALIA,natalia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2002-03-16,2017-04-02
CRISTIANE,cristiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-04-24,2023-07-23
CARLA,carla@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2006-01-30,2000-11-17
DEBORA,debora@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2006-10-18,2021-04-14
ROSANGELA,rosangela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1969-08-01,2020-08-14
JAQUELINE,jaqueline@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-11-25,2007-10-13
ROSA,rosa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-11-27,2000-11-20
APARECIDA,aparecida@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-04-06,1998-07-14
DANIELA,daniela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1966-08-12,2001-05-11
MARLENE,marlene@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-12-16,2018-05-18
TEREZINHA,terezinha@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-08-06,2002-08-04
RAIMUNDA,raimunda@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1970-07-15,2020-09-28
ANDREIA,andreia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-12-05,2013-07-17
FABIANA,fabiana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-01-04,2019-04-28
LUCIA,lucia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-09-11,2019-12-22
RAQUEL,raquel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1968-01-24,2014-03-25
ANGELA,angela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-05-24,2009-12-20
RAFAELA,rafaela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-07-04,2020-10-01
JOANA,joana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-01-23,1998-09-11
LUZIA,luzia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-05-03,2019-05-24
ELAINE,elaine@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-06-01,2020-01-04
REGINA,regina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-09-24,2023-03-02
DANIELE,daniele@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1955-02-15,2003-02-24
SUELI,sueli@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-06-24,2007-10-11
DAIANE,daiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-11-14,2014-04-09
ALESSANDRA,alessandra@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-03-04,2009-02-06
ISABEL,isabel@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-07-28,2010-05-29
SARA,sara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1954-03-10,1999-10-18
BIANCA,bianca@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1954-12-16,2015-01-05
FLAVIA,flavia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-04-28,2013-07-18
ERICA,erica@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-04-04,2019-05-14
VIVIANE,viviane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-06-05,2003-03-01
SILVANA,silvana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1978-11-10,2012-06-25
PRISCILA,priscila@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-06-03,2016-03-25
PAULA,paula@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-04-12,2015-05-02
LUIZA,luiza@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-05-05,2021-11-10
TEREZA,tereza@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-04-10,2012-11-28
ISABELA,isabela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1955-08-15,2001-08-07
MARTA,marta@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-08-29,2011-04-25
CAROLINE,caroline@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-01-04,2012-12-01
JANAINA,janaina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-10-15,1999-11-22
LAURA,laura@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-10-18,2019-05-19
MARLI,marli@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1975-12-11,2017-02-19
TATIANE,tatiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1995-12-02,2016-10-27
MARINA,marina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1965-07-09,2006-08-22
SILVIA,silvia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-02-04,2017-04-03
MONICA,monica@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-06-26,2023-07-23
TAIS,tais@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1954-11-26,2007-01-21
MICHELE,michele@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1958-10-27,2001-08-29
SOLANGE,solange@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-11-02,2018-05-31
EDNA,edna@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-11-25,2016-10-07
FATIMA,fatima@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-04-01,2015-05-30
HELENA,helena@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-01-10,2007-05-06
CRISTINA,cristina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-03-31,2022-08-04
ALICE,alice@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1980-11-12,2023-01-17
CAROLINA,carolina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1964-09-09,2007-03-08
ROSANA,rosana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1969-08-28,2017-06-29
ANDRESSA,andressa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-01-16,2005-04-11
CELIA,celia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-06-20,2006-03-26
VALERIA,valeria@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-08-25,2019-11-18
ELIANA,eliana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-01-16,2014-08-28
SABRINA,sabrina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2002-03-16,2015-03-12
ANDREA,andrea@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-02-08,2017-08-30
TANIA,tania@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-09-04,2014-04-27
BARBARA,barbara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-12-20,2003-06-04
THAIS,thais@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-07-29,2008-02-12
DENISE,denise@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-12-03,2017-08-06
ROSELI,roseli@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-05-13,2019-08-08
GISELE,gisele@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-02-02,2012-03-24
MARILENE,marilene@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-07-05,2012-06-11
KATIA,katia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-04-27,2001-04-30
EVA,eva@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1970-10-20,2004-10-31
MILENA,milena@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1978-03-19,2007-01-22
EDUARDA,eduarda@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-11-10,2013-05-23
ELISANGELA,elisangela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-02-16,2007-01-30
VILMA,vilma@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-06-08,2008-07-12
GEOVANA,geovana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-09-11,2002-01-16
LUCIENE,luciene@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-10-16,2019-09-05
TAMIRES,tamires@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-09-20,2008-05-26
TATIANA,tatiana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-02-25,2014-12-20
ROBERTA,roberta@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-04-03,2022-04-27
ELZA,elza@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1970-06-10,2021-10-17
TALITA,talita@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-12-17,2011-12-18
MARCELA,marcela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-03-27,2001-07-06
PAMELA,pamela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-10-26,2014-06-24
VANIA,vania@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1975-07-30,2018-08-15
IRENE,irene@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-08-21,2005-05-14
JOSIANE,josiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-06-14,2006-04-21
LIVIA,livia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2002-01-11,2008-07-18
CINTIA,cintia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-07-28,2019-05-21
IVONE,ivone@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1957-10-26,2021-04-18
LAIS,lais@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1992-12-26,2021-01-01
BENEDITA,benedita@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1956-08-06,2005-08-16
SEBASTIANA,sebastiana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1962-05-31,2015-04-03
TAINA,taina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1997-01-17,2006-12-20
JOICE,joice@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1981-06-19,2017-01-06
MIRIAN,mirian@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-05-25,2010-04-22
ELIZABETE,elizabete@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-01-17,2020-12-23
ANGELICA,angelica@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-04-07,2000-07-26
GABRIELE,gabriele@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1979-12-30,2003-07-03
BRENDA,brenda@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-08-17,2006-10-18
VERONICA,veronica@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1975-01-07,2021-01-18
ROSILENE,rosilene@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1987-05-27,2014-02-05
KARINA,karina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1952-06-28,2000-01-03
NAIR,nair@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1994-06-06,2019-12-21
NEUSA,neusa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-08-08,2007-02-27
MARGARIDA,margarida@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1996-02-03,2006-04-02
NEUZA,neuza@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-07-14,2009-08-24
NEIDE,neide@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-04-22,2020-08-19
RAISSA,raissa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-03-20,2004-07-18
MAIARA,maiara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1951-05-10,2004-04-23
LORENA,lorena@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1961-11-08,2021-01-23
FRANCIELE,franciele@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-10-18,2023-09-11
SAMARA,samara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-12-11,2013-08-10
LILIAN,lilian@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-05-20,2023-07-19
JANETE,janete@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1974-11-27,2001-08-22
CICERA,cicera@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-03-06,2013-10-30
GIOVANA,giovana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1955-12-08,2008-02-07
SEVERINA,severina@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2004-11-13,1999-04-15
LARA,lara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-10-24,2003-10-06
CLEIDE,cleide@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1965-10-11,2003-07-22
NICOLE,nicole@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-08-01,2011-09-23
CECILIA,cecilia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1962-01-12,2018-04-04
YASMIN,yasmin@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1986-06-22,2010-06-01
CONCEICAO,conceicao@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1953-11-21,2023-06-13
INGRID,ingrid@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2005-04-30,2009-05-06
SELMA,selma@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1972-04-06,2012-07-22
LEILA,leila@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1989-06-08,2004-11-24
RAIANE,raiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1984-08-10,2021-10-20
ESTER,ester@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1977-09-15,2001-12-02
REGIANE,regiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1956-02-04,2007-12-03
MARISA,marisa@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1998-08-15,2007-12-10
EUNICE,eunice@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1976-12-26,2017-03-06
KELLY,kelly@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1964-08-10,2002-11-10
TAINARA,tainara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2006-05-18,2020-03-20
IARA,iara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1997-09-21,2006-08-08
JOELMA,joelma@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1999-08-20,2015-07-05
MARINALVA,marinalva@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1969-04-14,2022-08-23
TERESINHA,teresinha@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1960-11-25,2002-06-08
REBECA,rebeca@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2006-02-19,2022-04-08
GERALDA,geralda@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1963-01-20,2007-02-25
CLEONICE,cleonice@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2003-01-04,2008-08-28
ALEXANDRA,alexandra@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2000-06-02,2016-11-09
MARA,mara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-06-27,2021-02-01
JENIFER,jenifer@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1993-05-30,2020-11-05
ELIZANGELA,elizangela@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1965-03-02,2002-04-05
LILIANE,liliane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1995-07-28,2000-10-08
LIDIA,lidia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1983-06-29,2015-11-14
IRACEMA,iracema@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1982-11-04,2022-06-16
LIDIANE,lidiane@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1985-01-28,2017-02-28
IRACI,iraci@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",2001-04-21,2000-11-21
MARILIA,marilia@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1975-07-17,2000-04-16
SHEILA,sheila@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1956-07-12,2003-11-16
INES,ines@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1988-12-23,2018-04-27
NAIARA,naiara@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-06-01,1999-03-18
POLIANA,poliana@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1991-06-14,2002-05-01
DALVA,dalva@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1968-12-13,2010-01-17
LURDES,lurdes@emailbrokenia.com,"hoy comienza la mejor semana de tu vida, ¡feliz semana!",1959-07-10,1998-12-30
